Shift,Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Comments,Line No,status,Year,Month,Day,Hour,DayOfWeek,IsWeekend,Lag1_Time,Lag2_Time,Failure,time_between_failure,time_between_failure_minutes
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,7,25,21,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,5,10,16,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,7,27,14,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,12,31,11,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,8,27,19,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,2,24,1,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,10,9,6,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,9,24,0,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2021,11,3,10,2,False,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,4,10,6,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,7,11,3,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,11,20,9,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,11,28,12,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2024,1,26,9,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,1,9,5,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,4,12,7,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,7,15,10,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,7,16,5,6,True,,,0,,
