Shift,Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Comments,Line No,status,Year,Month,Day,Hour,DayOfWeek,IsWeekend,Lag1_Time,Lag2_Time,Failure,time_between_failure,time_between_failure_minutes
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,11,6,19,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2024,2,25,15,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,4,22,10,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,7,8,12,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,12,26,14,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,3,4,17,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,9,8,10,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,5,28,21,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,7,27,2,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,6,22,3,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,2,7,4,1,False,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,1,31,21,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,5,18,1,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,2,12,2,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2024,3,6,6,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,9,4,5,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,10,18,2,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,11,29,22,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,5,23,21,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,8,26,6,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,12,15,11,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,2,20,2,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,4,3,19,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,2,27,4,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,3,19,19,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,8,19,13,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,11,22,2,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,6,10,19,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,11,12,8,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,10,3,3,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,6,11,7,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,10,1,0,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,7,7,16,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,4,25,19,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,11,11,5,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2021,8,8,23,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,12,9,9,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,8,31,11,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,10,2,16,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,2,5,12,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2024,2,23,9,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,3,12,3,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,3,9,12,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2024,4,14,3,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,12,22,17,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,8,17,18,2,False,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,1,27,5,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,9,7,12,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,12,3,9,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,7,1,15,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,2,10,10,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,2,23,13,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,11,15,21,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,2,14,20,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2024,2,10,0,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,11,24,21,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,4,29,4,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,9,10,23,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,8,19,19,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2021,8,24,11,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,1,6,7,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2021,10,1,23,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,8,7,4,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,6,7,11,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,10,14,18,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,5,28,11,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,8,1,0,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,8,3,8,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2024,2,23,7,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,8,12,15,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,8,7,17,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2024,4,2,4,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,8,6,3,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,5,22,6,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,3,15,10,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,4,27,13,2,False,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,2,6,1,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,3,16,8,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,2,6,20,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,6,2,1,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,6,18,16,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,7,19,6,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,3,16,16,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,9,16,23,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,11,28,10,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,7,24,5,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,7,21,16,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,8,7,5,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,2,9,1,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2024,4,5,12,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,7,29,14,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,5,6,21,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,2,9,11,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,5,29,18,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,3,23,6,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,7,16,16,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,6,9,18,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,1,29,7,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,9,8,7,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,3,16,11,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,2,23,15,2,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,12,2,5,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,7,1,1,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,12,11,12,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,9,17,18,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,2,27,20,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,3,17,15,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,4,11,6,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,12,13,6,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,12,22,0,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,11,15,18,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,10,6,15,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,10,21,4,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,12,1,7,2,False,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,1,20,4,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,8,21,7,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,6,13,1,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2024,4,28,11,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,8,20,12,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2021,9,27,2,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,2,15,15,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,10,15,11,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2024,3,12,18,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,2,12,0,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,1,10,7,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,12,3,0,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,12,12,3,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,6,5,14,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,10,27,21,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,10,8,12,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2024,3,27,16,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,4,10,11,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,5,17,4,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,11,23,20,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,1,14,21,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,12,22,20,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,6,1,5,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,1,1,6,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,8,22,9,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,5,1,18,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,2,22,18,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,7,10,21,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,10,18,14,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,3,2,8,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,3,29,13,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,10,16,15,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,4,17,17,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,11,8,15,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,5,1,4,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,3,28,4,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,7,18,3,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,2,5,5,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,7,6,3,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,8,22,2,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,12,4,3,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,3,26,13,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,12,23,20,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,5,6,3,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,4,17,15,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,5,1,5,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,5,21,17,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,8,20,22,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,8,16,5,0,False,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,2,1,22,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,12,1,21,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,4,10,21,6,True,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,18.0,,2024,4,9,10,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,7,24,6,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,11,11,16,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,2,14,3,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,3,28,0,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,12,25,12,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,6,14,0,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,12,19,2,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,5,30,13,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,2,19,5,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,1,27,5,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,6,28,4,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,9,22,4,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,12,2,8,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,1,7,1,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,11,16,9,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,9,27,13,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,12,1,8,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,6,10,11,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,1,23,23,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,4,17,0,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,5,1,7,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,2,26,13,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,6,24,8,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,7,14,6,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,2,4,18,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2024,2,16,16,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,1,24,16,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,2,5,9,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,12,9,19,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,9,20,19,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,10,27,0,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,5,15,13,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,9,1,8,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,10,17,15,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,8,18,0,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,8,1,0,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,11,4,21,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,5,14,1,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,9,1,12,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2022,10,8,14,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,2,19,9,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,6,18,1,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,12,23,12,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,1,13,10,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,9,26,5,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,11,13,22,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,9,20,18,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,3,11,2,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2024,1,4,17,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,1,12,13,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,3,29,22,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,5,10,3,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,12,4,7,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2023,4,17,13,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2022,4,13,3,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,11,17,19,4,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,7,19,21,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,1,3,18,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2024,3,9,11,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,8,18,13,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,3,11,0,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,8,31,5,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,7,10,15,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,7,15,19,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,9,26,12,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,8,5,15,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2024,1,3,2,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,4,16,10,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,1,1,10,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,7,24,2,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2024,1,8,3,0,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,8,25,23,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2021,8,3,3,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,7,28,18,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,6,13,23,6,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,10,8,21,4,False,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,1,28,4,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,10,12,10,3,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,4,22,9,5,True,,,0,,
John Smiths/Yellow,no failure,De-palletiser,,,,,17.0,,2024,1,31,8,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,11,12,0,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,10,24,8,0,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,7,16,8,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2022,1,21,20,4,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,7,20,9,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2024,1,9,8,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,10,8,16,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2024,1,14,4,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2023,1,6,12,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,3,4,8,5,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2022,1,6,10,3,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2022,8,30,19,1,False,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,17.0,,2021,9,13,15,0,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,10,19,13,3,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,8,17,5,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,12,21,22,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,7,12,7,0,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2021,11,18,1,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,9,11,23,5,True,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2023,5,5,15,4,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2024,4,28,10,6,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,5,23,23,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2023,10,8,16,6,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2022,8,19,12,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2022,12,21,22,2,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,12,7,0,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2023,7,26,16,2,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,18.0,,2022,4,9,19,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,3,7,15,1,False,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2021,5,11,1,1,False,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,18.0,,2024,1,14,21,6,True,,,0,,
Heineken/Orange,no failure,De-palletiser,,,,,17.0,,2021,6,11,12,4,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,2,25,10,5,True,,,0,,
John Smiths/Pink,no failure,De-palletiser,,,,,17.0,,2023,3,11,13,5,True,,,0,,
Strongbow/Yellow,no failure,De-palletiser,,,,,18.0,,2023,12,20,20,2,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2023,11,7,0,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2024,2,20,1,1,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,18.0,,2021,11,18,9,3,False,,,0,,
Fosters/Green,no failure,De-palletiser,,,,,17.0,,2021,11,25,1,3,False,,,0,,
