Index,Shift,Incident,Machine,Area / Cause,Reason / Fault,Time (minutes),Comments,Line No,MachineStopType
825656,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Setup and adjustments,8.0,sweeping arm damaging cans,17,Breakdown
825672,Strongbow/Yellow,Machine Stop,De-palletiser,Infeed Conveyors,Light guard tripped,11.0,conveyors tripped,17,Short Stop
825851,Fosters/Green,Machine Stop,De-palletiser,Top frame removal assembly,Fault not listed,28.0,bar not taking top frame off pallet,17,Breakdown
826128,John Smiths/Pink,Machine Stop,De-palletiser,Top frame removal assembly,Fault not listed,86.0,Empty pallet lift jammed. Lift not coming back up after jam has been cleared.,17,Short Stop
826139,John Smiths/Pink,Machine Stop,De-palletiser,Top frame removal assembly,Fault not listed,47.0,Same ongoing issue with lift not rasing back up.,17,Short Stop
826463,Strongbow/Yellow,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,15.0,TOP FRAME JAM,17,Short Stop
826542,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,9.0,Fallen / Jammed cans-crafts investigating,17,Short Stop
826671,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,9.0,layerpad jam,17,Short Stop
826829,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,16.0,Top frames fallen in lift,17,Short Stop
826932,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,6.0,,17,Breakdown
827261,Fosters/Green,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,7.0,Layer pads not being taken off correctly and some layer pads on conveyor,17,Breakdown
827370,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,5.0,,17,Short Stop
827686,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,24.0,Dropped top frames in lift,17,Short Stop
827703,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,180.0,layer card lift dropped crafts investigating/resetting as necessary,17,Breakdown
827711,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,4.0,Dropped layer pad in lift,17,Short Stop
827759,Heineken/Orange,Machine Stop,De-palletiser,Infeed Conveyors,Chain/ Drive,8.0,pallet stuck on infeed to the lift,17,Short Stop
827773,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet stacker,Sensor mis-alignment,12.0,Sensor mis-alignment,17,Short Stop
827784,Heineken/Orange,Machine Stop,De-palletiser,Infeed Conveyors,Sensor mis-alignned,4.0,Adjustment of discharge sensor,17,Breakdown
827815,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,9.0,Pallet coming in the lift and not coming up.,17,Short Stop
827822,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,28.0,Layer pad bed not retracting and layerpad lift not coming high enough. Crafts on it.,17,Short Stop
827824,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Layerpad gripper failure,19.0,Crafts made adjustments.,17,Breakdown
827846,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,3.0,Trasfer tray fault ongoing issue cauing cans to gap to filler.,17,Short Stop
827873,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,11.0,Trasfer tray fault ongoing issue cauing cans to gap to filler.,17,Short Stop
827929,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,70.0,Adjustment/repair,17,Breakdown
827994,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,,7.0,card fell into lift,17,Short Stop
828256,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,14.0,Layercard fallen in lift,17,Short Stop
828484,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,8.0,cans being damaged from layer sweep arm causing jams in seamer,17,Short Stop
828489,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,12.0,layer pad fell into lift.had to remove layer pad out of lift,17,Short Stop
828496,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,9.0,"sweep arm damaging cans, operator and crafts investigating",17,Short Stop
828580,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,26.0,Sweep arm knocking cans over,17,Short Stop
828607,Fosters/Green,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,7.0,pallet not going up in lift,17,Breakdown
828643,Fosters/Green,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,23.0,Empty can lift intermittently jamming. Crafts in attendance to make adjustments,17,Breakdown
828807,Fosters/Green,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,8.0,Layer pad came through full pallet lift without being taken off. Lots of fallen cans on conveyor,17,Breakdown
828866,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,6.0,MB Pallet stack jammed. Driven out manually.,17,Short Stop
829223,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Sensor failure,7.0,Pallet height sensor has been on 500ml and adjusted to work for 568ml cans. Op fixing issue.,17,Short Stop
829280,Fosters/Green,Machine Stop,De-palletiser,Infeed Conveyors,Chain/ Drive,29.0,broken chain on infeed conveyor,17,Breakdown
829549,John Smiths/Pink,Machine Stop,De-palletiser,Empty pallet stacker,Fault not listed,22.0,pallet stop stuck down so all pallets are going through not stacking.,17,Short Stop
829555,John Smiths/Pink,Machine Stop,De-palletiser,Empty pallet stacker,Fault not listed,9.0,Replacing solenoid switch.,17,Short Stop
829757,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Layer sucker failure,35.0,suction cup not lifting card off,17,Short Stop
829766,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Layer sucker failure,29.0,suction cup not lifting card off.,17,Short Stop
829800,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Fault not listed,15.0,Sending more than one pallet in lift at same time.,17,Short Stop
829831,John Smiths/Pink,Machine Stop,De-palletiser,Infeed Conveyors,Chain/ Drive,3.0,Chain come off sprocket and runner damaged crafts in attendence trying to source parts.,17,Breakdown
829832,John Smiths/Pink,Machine Stop,De-palletiser,Infeed Conveyors,Chain/ Drive,110.0,Chain come off sprocket and runner damaged crafts in attendence trying to source parts.,17,Breakdown
829969,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,20.0,crashin sweep arm .operator removing damaged cans,17,Short Stop
830022,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,15.0,Top frames fallen/jammed in lift area,17,Short Stop
830042,Strongbow/Yellow,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,5.0,pallet jammed,17,Short Stop
830053,Strongbow/Yellow,Machine Stop,De-palletiser,Discharge Conveyors,Fallen / Jammed cans,19.0,,17,Short Stop
830063,Strongbow/Yellow,Machine Stop,De-palletiser,Full Pallet lift,Sensor failure,21.0,sensor fault,17,Short Stop
830418,Strongbow/Yellow,Machine Stop,De-palletiser,Discharge Conveyors,Dropped layer pad,8.0,LAYERCARDS FELL OFF PALLET,17,Short Stop
830690,Fosters/Green,Machine Stop,De-palletiser,Infeed Conveyors,Chain/ Drive,22.0,in-feed chain broken,17,Breakdown
830833,Fosters/Green,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,26.0,Dropped layer pads on the conveyor. Operator had to clear,17,Breakdown
830861,Fosters/Green,Machine Stop,De-palletiser,Control Panel / PLC,Fault not listed,36.0,Sweeper crash. Cleared damagd cans. Doors wouldn’t reset,17,Breakdown
830879,Fosters/Green,Machine Stop,De-palletiser,Empty pallet conveyors,Out of sequence,14.0,empty pallet conveyors out of sync,17,Breakdown
830995,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,15.0,layer pad dropped into lift,17,Short Stop
831126,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,15.0,Operaster had to reverse pallet out of lift and perform reset. Seamer flush done while line was down.,17,Short Stop
831179,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,28.0,sweep arm not lifting causing can to fall craft investigating,17,Short Stop
831302,Strongbow/Yellow,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,2.0,broken top frame,17,Short Stop
831465,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,17.0,srtack jammed,17,Short Stop
831484,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,11.0,,17,Short Stop
831505,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,4.0,stack of plts jammed,17,Short Stop
831523,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,10.0,Cylinder worked free from side rail - crafts aware of issue,17,Short Stop
831542,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,33.0,cylinder for side guide bolts worked loose had to re fit cylinder with new bolts,17,Short Stop
831559,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Sensor dirty/ misaligned,10.0,reflector miss aligned sensor fault and layer cards fell into shaft,17,Short Stop
831683,Fosters/Green,Machine Stop,De-palletiser,Empty pallet conveyors,Jammed pallet,16.0,,17,Breakdown
831690,Fosters/Green,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,30.0,part collapsed pallet,17,Short Stop
831939,Fosters/Green,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,11.0,Dropped top frame on conveyor,17,Breakdown
832038,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Fault not listed,28.0,Chaange over issues. Confustion on change over. Running out due to no cans when cans were on the line.,17,Short Stop
832157,Fosters/Green,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,7.0,Jammed full pallet,17,Breakdown
832997,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,16.0,layer cards fell in machine,17,Short Stop
833036,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,24.0,Layercards fallen in stacker lift - operator retrieving,17,Short Stop
833037,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Sensor dirty/ misaligned,7.0,Lift sensor out of position following fallen card issue,17,Short Stop
833057,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,14.0,sweep arm smashing all cans-crafts investigating,17,Short Stop
833089,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,2.0,,17,Short Stop
833093,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Layerpad gripper failure,8.0,Crafts observing gripper issue,17,Short Stop
833136,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Setup and adjustments,166.0,Layer card fingers not removing layer cards causing layer cards to travel along the line and jam,17,Breakdown
833152,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Setup and adjustments,21.0,"Layer card fingers not removing layer cards causing layer cards to travel along the line and jam, also issues with the lift doors",17,Breakdown
833228,Strongbow/Yellow,Machine Stop,De-palletiser,Top frame removal assembly,Fault not listed,10.0,Top frames jammed in lift had to remove manually,17,Short Stop
833307,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,10.0,layer card smash,17,Short Stop
833311,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,15.0,two pallet trying to drive through jammed and would not lift,17,Breakdown
833314,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,11.0,Layer cards drop through lift as no pallet,17,Breakdown
833360,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Out of sequence,9.0,stack to many pallets,17,Breakdown
833428,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,10.0,layer crd smash caused damaged cans to be on the line,17,Short Stop
833454,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Fault not listed,23.0,"collapsed pallet, stopped line to remove damaged cans",17,Short Stop
833494,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,21.0,all layer cards fallen into machine,17,Short Stop
833768,Fosters/Green,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,12.0,Top frame snapped and fell down lift needed reset key from lodge,17,Breakdown
833928,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,6.0,damaged cans removed,17,Short Stop
833961,Fosters/Green,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,25.0,"layer cards fell down lift,operator had to get override key to gain access",17,Breakdown
833965,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Sensor mis-aligned,22.0,"sweep arm catching cans and damaging,crafts adjusting sensor",17,Breakdown
834002,Fosters/Green,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,8.0,layer card knocked cans over,17,Breakdown
834004,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,11.0,"empty pallet jammed going into stack,forced pallet back out of lift",17,Breakdown
834317,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,16.0,"Pallet Jammed in lift cans trapped operater had to access de-pal, Remove jammed pallet/ Cans and perform reset. Waiting for cans, Seamer flush done while line was down.",17,Short Stop
834592,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,4.0,pallets stuck,17,Short Stop
834795,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,8.0,Layer sweep arm knocked a layer of cans over,17,Breakdown
834816,Fosters/Green,Machine Stop,De-palletiser,Top frame removal assembly,Fault not listed,9.0,pallet still banded at top frame removal,17,Short Stop
834828,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,7.0,sweeper arm not coming back into position and knocking a layer of cans over. Crafts investigating.,17,Breakdown
834838,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,4.0,crafts investigating sweeper arm on de-pal L17,17,Breakdown
834848,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,8.0,crafts investigating the cylinder on the sweeper arm,17,Breakdown
834851,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,11.0,crafts inspecting cylinder on sweeper arm/ no adjustments made however or no parts replaced,17,Breakdown
834941,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,24.0,sweep arm damaging cans,17,Breakdown
834945,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,10.0,sweep arm damaging cans,17,Short Stop
834961,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,20.0,sweeping arm knocking cans over.,17,Short Stop
835036,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,10.0,jammed pallet in empty lift,17,Breakdown
835089,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,25.0,"Sweep Arm has not fully retracted, causing a large amount of Cans to fall over.",17,Breakdown
835095,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,6.0,sweeper arm not retracting back to normnal position knocking a large amount of cans over,17,Breakdown
835144,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,5.0,sweep arm damaging cans,17,Short Stop
835149,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,6.0,sweep arm damaging cans,17,Short Stop
835155,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,5.0,sweep arm damaging cans,17,Short Stop
835170,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,11.0,sweep arm damaging cans,17,Short Stop
835183,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,2.0,sweeper arm damaging cans,17,Short Stop
835192,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,11.0,sweep arm damaging cans,17,Short Stop
835193,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,5.0,sweep arm damaging cans,17,Short Stop
835199,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,3.0,sweep arm damaging cans,17,Short Stop
835208,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,10.0,sweep arm damaging cans,17,Short Stop
835212,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,12.0,sweep arm damaging cans,17,Short Stop
835216,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,15.0,sweep arm damaging cans,17,Short Stop
835223,Strongbow/Yellow,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,8.0,pallet stuck going into lift,17,Short Stop
835234,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,92.0,crafts removed cylinder and used seals from spare cylinder they founf in work shop,17,Short Stop
835457,Fosters/Green,Machine Stop,De-palletiser,Layer pad take-off,Sensor failure,4.0,,17,Short Stop
835459,Fosters/Green,Machine Stop,De-palletiser,Layer pad take-off,Layer sucker failure,4.0,gripper failiure,17,Short Stop
835460,Fosters/Green,Machine Stop,De-palletiser,Layer pad take-off,Layer sucker failure,7.0,"Sucjer failiure, crafts came out earlier for the same issue. Fault reoccured",17,Breakdown
835650,Heineken/Orange,Machine Stop,De-palletiser,Full Pallet lift,Fallen / Jammed cans,18.0,Lift failed to reach correct height - sweep arm crushed layer of cans,17,Short Stop
835764,Heineken/Orange,Machine Stop,De-palletiser,Infeed Conveyors,Fault not listed,10.0,Pallrt stuck in door of the lift,17,Short Stop
835934,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,3.0,,17,Short Stop
835935,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,9.0,layer card fallen into machine,17,Short Stop
835941,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Sensor dirty/ misaligned,27.0,sensor out of alignment. Tech op realigned,17,Short Stop
836179,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Layerpad gripper failure,85.0,sensor loose and misaligned /fingers not grabbing layer card crafts in attendance,17,Breakdown
836215,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet stacker,Out of sequence,10.0,layer cards fell into the lift,17,Short Stop
836278,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,19.0,layer pads fallen in lift,17,Short Stop
836281,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,6.0,Top frame dropped in lift,17,Short Stop
836283,Heineken/Orange,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,5.0,,17,Short Stop
836312,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,8.0,Dropped top frame,17,Short Stop
836316,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,3.0,,17,Short Stop
836318,Heineken/Orange,Machine Stop,De-palletiser,Top frame removal assembly,Fault not listed,8.0,Top Frame Pallet not discharging,17,Short Stop
836360,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,99.0,Layer pad lift not driving - crafts investgating issue,17,Short Stop
836390,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,7.0,Layer pads fallen in machine,17,Short Stop
836493,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,12.0,jammed pallet,17,Breakdown
836527,Strongbow/Yellow,Machine Stop,De-palletiser,Top frame removal assembly,Fault not listed,20.0,layer card lift not coming up,17,Short Stop
836565,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Fault not listed,194.0,layer sweep jam knocking all cans over on every sweep,17,Short Stop
836578,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Air cylinder failure,230.0,cylinder failed,17,Breakdown
836630,Fosters/Green,Machine Stop,De-palletiser,Empty pallet conveyors,Fault not listed,13.0,Empty Pallet Stack not driving out.,17,Breakdown
836681,Strongbow/Yellow,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,15.0,sweep arm knocking cans over,17,Short Stop
836716,Strongbow/Yellow,Machine Stop,De-palletiser,Discharge Conveyors,Jammed pallet,5.0,,17,Short Stop
836903,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Layerpad gripper failure,22.0,Fallen pallet onto conveyors - operators manually removed all cans,17,Short Stop
836905,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Layerpad gripper failure,22.0,Layer cards not being pulled off after each layer of cans - crafts investigating,17,Short Stop
836911,John Smiths/Pink,Machine Stop,De-palletiser,Layer Sweep Assembly,Setup and adjustments,41.0,Crafts fixing sweeping arm on line 17 depal,17,Short Stop
836915,John Smiths/Pink,Machine Stop,De-palletiser,Layer Sweep Assembly,Layerpad gripper failure,10.0,Layer pad not being pulled away and causing crashes - crafts investigating,17,Short Stop
836972,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Sensor mis-alignment,9.0,crafts checking sensors on empty pallet lift,17,Breakdown
836985,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Fault not listed,21.0,pallet not discharging crafts checking sensors,17,Breakdown
836991,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,10.0,Pallet jammed,17,Breakdown
837010,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,4.0,,17,Short Stop
837221,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Chain / Drive,19.0,"Layer cards jammed in lift, operators manually removed and reset pallet lift - gap cuased along line",17,Short Stop
837224,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Sensor failure,7.0,,17,Short Stop
837255,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,10.0,Multiple jammed pallets in lift - crafts fixed,17,Short Stop
837368,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,7.0,,17,Short Stop
837370,Heineken/Orange,Machine Stop,De-palletiser,Discharge Conveyors,Fault not listed,22.0,loose dead plate crafts making adjustments,17,Short Stop
837393,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,10.0,,17,Short Stop
837397,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,18.0,layer pad jammed in lift,17,Short Stop
837435,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,7.0,Jmamed layer card in lift,17,Short Stop
837457,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,7.0,Layer card fallen and jammed pallet,17,Short Stop
837464,John Smiths/Pink,Machine Stop,De-palletiser,Control Panel / PLC,Fault not listed,15.0,Crafts working on depal,17,Short Stop
837482,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,4.0,,17,Short Stop
837510,John Smiths/Pink,Machine Stop,De-palletiser,Infeed Conveyors,Fallen / Jammed cans,11.0,Pallet stuck on infeed conveyor,17,Short Stop
837699,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,6.0,,17,Short Stop
837731,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,25.0,arm damaging cans,17,Breakdown
837876,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Layer sucker failure,7.0,"craft investigating issue with layer card sucker, found sucker damaged crafts changing sucker",17,Breakdown
837877,Heineken/Orange,Machine Stop,De-palletiser,Layer pad take-off,Fault not listed,12.0,craft replaced suckers,17,Short Stop
838767,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,5.0,Operater cleared layer card and restarted.,17,Short Stop
838994,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Layerpad gripper failure,6.0,Fallen layer cards,17,Short Stop
839015,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,4.0,,17,Short Stop
839088,John Smiths/Pink,Machine Stop,De-palletiser,Layer pad take-off,Layerpad gripper failure,22.0,Fallen layer cards in pallet lift,17,Short Stop
839572,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet conveyors,Light guard - debanding station,10.0,Light barrier activated - realigning pallet,17,Short Stop
839666,Fosters/Green,Machine Stop,De-palletiser,Empty pallet conveyors,Light guard - debanding station,5.0,light guard tripped,17,Short Stop
839674,Fosters/Green,Machine Stop,De-palletiser,Top frame removal assembly,Dropped top frame,7.0,dropped top frame,17,Short Stop
839692,Fosters/Green,Machine Stop,De-palletiser,Top frame removal assembly,Fault not listed,5.0,snapped top frame,17,Short Stop
839710,Fosters/Green,Machine Stop,De-palletiser,Infeed Conveyors,Fault not listed,20.0,"to many pallets at top frame removal,operator reversed pallets  out",17,Short Stop
839713,Fosters/Green,Machine Stop,De-palletiser,Infeed Conveyors,Fault not listed,15.0,pallets over shooting at top frame removal station,17,Short Stop
839888,Strongbow/Yellow,Machine Stop,De-palletiser,Empty pallet conveyors,Motor / invertor,6.0,CHAIN COME OFF GOLDCO,17,Short Stop
840028,Fosters/Green,Machine Stop,De-palletiser,Infeed Conveyors,Light guard tripped,5.0,,17,Short Stop
840242,John Smiths/Pink,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,5.0,Pallet not driving in lift due to jammed fallen can.,17,Short Stop
840343,Fosters/Green,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,18.0,layer cards fell through the lift onto conveyors,17,Short Stop
841153,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Sensor mis-alignment,6.0,,17,Short Stop
841163,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,23.0,empty pallet jammed,17,Short Stop
841279,Fosters/Green,Machine Stop,De-palletiser,Empty pallet stacker,Stack Jammed,11.0,jammed stack in lift,17,Short Stop
841388,Strongbow/Yellow,Machine Stop,De-palletiser,Layer pad take-off,Dropped layer pad,12.0,layer card jam,17,Short Stop
841506,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,8.0,,17,Breakdown
841544,Fosters/Green,Machine Stop,De-palletiser,Empty pallet conveyors,Jammed pallet,9.0,Jammed pallet plus discharge dogs gaurding loose,17,Breakdown
841577,Fosters/Green,Machine Stop,De-palletiser,Layer pad take-off,Layerpad gripper failure,12.0,Layer cards dropped down the lift,17,Breakdown
841623,Fosters/Green,Machine Stop,De-palletiser,Empty pallet conveyors,Jammed pallet,13.0,Pallet jammed on outfeed,17,Breakdown
841812,Fosters/Green,Machine Stop,De-palletiser,Empty pallet conveyors,Jammed pallet,7.0,Pallet jammed,17,Breakdown
841825,Fosters/Green,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,26.0,Crash on the sweep,17,Breakdown
841916,Fosters/Green,Machine Stop,De-palletiser,Full Pallet lift,Jammed pallet,10.0,,17,Short Stop
841939,Heineken/Orange,Machine Stop,De-palletiser,Layer Sweep Assembly,Fallen / Jammed cans,38.0,Damaged cans present on line from sweep damage re:previous shift - clearing damaged cans from line,17,Short Stop
842152,Heineken/Orange,Machine Stop,De-palletiser,Empty pallet conveyors,Jammed pallet,11.0,,17,Short Stop
